id,出典URL,lat,lng
Tsuruga,https://www.hapi-line.co.jp/route/station/archives/1,35.645352,136.076256
Minami-Imajo,https://www.hapi-line.co.jp/route/station/archives/2,35.757637,136.184735
Imajo,https://www.hapi-line.co.jp/route/station/archives/3,35.773359,136.198582
Yunoo,https://www.hapi-line.co.jp/route/station/archives/4,35.803817,136.193944
Nanjo,https://www.hapi-line.co.jp/route/station/archives/5,35.83252,136.19318
Oshio,https://www.hapi-line.co.jp/route/station/archives/6,35.866629,136.166307
Takefu,https://www.hapi-line.co.jp/route/station/archives/8,35.902417,136.17104
Sabae,https://www.hapi-line.co.jp/route/station/archives/10,35.943376,136.188594
Kita-Sabae,https://www.hapi-line.co.jp/route/station/archives/11,35.971571,136.19869
Odoro,https://www.hapi-line.co.jp/route/station/archives/12,36.00886,136.216491
Echizen-Hanando,https://www.hapi-line.co.jp/route/station/archives/13,36.038777,136.217702
Fukui,https://www.hapi-line.co.jp/route/station/archives/14,36.062157,136.223365
Morita,https://www.hapi-line.co.jp/route/station/archives/16,36.109363,136.222642
Harue,https://www.hapi-line.co.jp/route/station/archives/17,36.129131,136.227853
Maruoka,https://www.hapi-line.co.jp/route/station/archives/18,36.162581,136.233682
Awaraonsen,https://www.hapi-line.co.jp/route/station/archives/19,36.214657,136.234646
Hosorogi,https://www.hapi-line.co.jp/route/station/archives/20,36.241108,136.256469
Ushinoya,https://www.hapi-line.co.jp/route/station/archives/21,36.25848,136.281834
